"ID";"HUMEDAD";"LUMINOSIDAD";"NITROGENO";"POTASIO";"FOSFORO";"ACIDEZ";"TEMP"
"13001";"53,4039";"16,6912";"5,99056";"214,505";"342,511";"2,30651";"8,31121"
"13002";"15,7247";"0,444577";"3,39515";"284,455";"112,035";"6,31769";"44,7847"
"13003";"24,424";"8,60407";"2,21339";"266,767";"183,575";"8,28675";"45,9832"
"13004";"48,5811";"17,782";"4,62931";"487,291";"367,006";"2,02134";"15,479"
"13005";"82,8363";"5,11328";"3,38006";"403,238";"176,091";"4,12711";"42,7278"
"13006";"60,4526";"2,22114";"4,10196";"40,6016";"151,732";"1,27951";"24,5538"
"13007";"78,2186";"8,83959";"5,13581";"341,149";"142,844";"8,48048";"1,71063"
"13008";"85,7432";"13,8945";"1,73276";"279,491";"144,656";"7,85997";"28,4517"
"13009";"66,1258";"3,98777";"1,57759";"427,475";"54,0462";"0,705426";"5,89078"
"13010";"106,952";"9,27817";"3,17494";"44,5423";"369,656";"4,16104";"4,57477"
"13011";"99,7685";"9,45305";"4,81861";"102,845";"298,81";"9,40375";"2,77855"
"13012";"59,7247";"12,332";"5,04379";"243,954";"212,137";"6,74049";"26,4626"
"13013";"82,6326";"1,77385";"0,029058";"22,5723";"78,3119";"3,94274";"26,3144"
"13014";"52,9058";"2,97991";"3,47065";"234,834";"306,843";"7,95868";"26,52"
"13015";"102,076";"3,23594";"0,497606";"398,835";"265,223";"3,01922";"28,8565"
"13016";"42,5154";"17,1171";"4,84688";"247,177";"3,43933";"3,6653";"29,3827"
"13017";"57,5636";"17,463";"3,01214";"18,6023";"226,76";"7,78074";"41,2384"
"13018";"103,552";"11,6189";"4,93938";"193,432";"221,187";"9,75604";"25,1281"
"13019";"39,1702";"14,9845";"0,104528";"223,24";"262,393";"4,33757";"20,9081"
"13020";"43,7397";"10,457";"4,66565";"199,897";"218,202";"6,01446";"30,4901"
"13021";"27,2164";"1,77208";"1,22957";"370,191";"189,313";"1,79694";"37,58"
"13022";"48,8196";"17,0344";"4,67707";"193,677";"210,229";"5,09578";"41,4413"
"13023";"16,0789";"1,90073";"5,47706";"224,777";"181,163";"6,16192";"2,79399"
"13024";"109,702";"5,49231";"1,01845";"107,99";"29,3232";"0,794492";"37,9667"
"13025";"48,8036";"9,76443";"4,91198";"339,035";"181,314";"5,83143";"12,9456"
"13026";"51,2195";"16,7538";"2,8595";"80,5754";"276,102";"8,9549";"21,2996"
"13027";"56,1613";"14,3466";"0,245306";"405,257";"16,0185";"0,347051";"16,4071"
"13028";"89,8855";"14,9037";"3,00453";"421,702";"331,645";"9,82496";"14,7744"
"13029";"21,4633";"16,8141";"5,98494";"229,604";"31,9496";"8,99829";"4,88"
"13030";"67,3028";"3,667";"0,622174";"459,973";"312,423";"1,5012";"35,9037"
"13031";"85,1949";"2,83925";"2,09867";"351,025";"268,494";"4,20627";"25,759"
"13032";"45,4558";"13,2061";"2,23189";"49,7021";"149,747";"9,38786";"30,362"
"13033";"26,4874";"15,4829";"4,68992";"343,988";"233,779";"1,89407";"45,2419"
"13034";"49,9699";"17,8686";"3,42274";"127,899";"99,9833";"1,29634";"15,0506"
"13035";"4,33508";"10,3085";"3,70966";"245,672";"173,635";"3,48337";"42,4769"
"13036";"60,0181";"5,4109";"2,34203";"391,336";"160,502";"9,36883";"31,5396"
"13037";"85,7165";"12,7308";"5,31792";"52,484";"217,715";"5,42156";"37,2118"
"13038";"36,8388";"11,6238";"5,43434";"459,241";"384,209";"7,14051";"34,4269"
"13039";"31,7578";"16,339";"5,03207";"129,115";"160,99";"4,37532";"15,3468"
"13040";"3,37519";"15,4408";"1,68677";"248,708";"300,873";"1,85263";"18,0563"
"13041";"99,8738";"16,1023";"3,38209";"342,894";"323,42";"6,73288";"33,0761"
"13042";"9,10737";"11,8721";"0,579453";"184,485";"97,0383";"3,40433";"37,7376"
"13043";"103,057";"5,30212";"2,90066";"233,425";"185,57";"5,61867";"41,9135"
"13044";"10,7386";"8,26693";"2,99849";"125,21";"265,523";"8,51244";"33,8538"
"13045";"43,9208";"11,5323";"4,17215";"50,4233";"252,634";"7,69756";"18,7155"
"13046";"53,4233";"1,01548";"4,33295";"202,649";"168,614";"7,84204";"40,4739"
"13047";"102,823";"13,2028";"0,189731";"339,685";"372,558";"2,82018";"19,8357"
"13048";"79,6508";"10,0834";"1,98584";"293,945";"271,167";"3,83195";"9,27096"
"13049";"88,9051";"1,44917";"0,613795";"232,842";"280,373";"0,664526";"30,0416"
"13050";"99,8748";"4,99128";"3,51963";"212,972";"287,907";"5,64002";"0,784841"
"13051";"71,9614";"12,5174";"3,35016";"103,809";"12,6259";"6,76708";"44,2027"
"13052";"20,4833";"17,9144";"3,42721";"179,104";"361,122";"3,50897";"35,107"
"13053";"102,524";"10,1321";"3,84547";"219,779";"184,44";"9,32125";"46,5053"
"13054";"60,4319";"4,71687";"1,40567";"397,686";"9,6107";"8,93955";"3,95939"
"13055";"46,6106";"5,91055";"0,227914";"231,783";"150,463";"2,3764";"10,4277"
"13056";"47,0992";"5,09106";"3,55391";"83,7696";"260,255";"1,80403";"49,0138"
"13057";"20,7027";"10,4668";"0,556068";"35,2657";"216,291";"0,401418";"47,3146"
